"Obs","AREA","RS_EXIT","RISK","SE","CIL","CIU"
"228",1,12841.00,0.03100,0.014636,0.012287,0.07821
"229",1,12844.00,0.03107,0.014670,0.012317,0.07839
"230",1,12851.00,0.03115,0.014704,0.012347,0.07857
"231",1,12863.00,0.03122,0.014738,0.012378,0.07875
"232",1,12863.00,0.03130,0.014772,0.012409,0.07894
"233",1,12864.00,0.03137,0.014806,0.012440,0.07912
"234",1,12869.00,0.03145,0.014840,0.012470,0.07930
"235",1,12869.00,0.03152,0.014874,0.012501,0.07948
"236",1,12870.00,0.03160,0.014908,0.012531,0.07967
"237",1,12871.00,0.03167,0.014943,0.012562,0.07985
"238",1,12874.00,0.03175,0.014977,0.012593,0.08003
"239",1,12880.00,0.03182,0.015011,0.012623,0.08022
"240",1,12881.00,0.03190,0.015045,0.012654,0.08040
"241",1,12884.00,0.03197,0.015079,0.012685,0.08058
"242",1,12887.00,0.03205,0.015114,0.012716,0.08077
"243",1,12887.00,0.03212,0.015148,0.012746,0.08095
"244",1,12889.00,0.03220,0.015182,0.012777,0.08113
"245",1,12890.00,0.03227,0.015216,0.012808,0.08131
"246",1,12892.00,0.03235,0.015250,0.012838,0.08150
"247",1,12893.00,0.03242,0.015285,0.012869,0.08168
"248",1,12894.00,0.03250,0.015318,0.012899,0.08186
"249",1,12894.00,0.03257,0.015352,0.012930,0.08205
"250",1,12897.00,0.03265,0.015387,0.012961,0.08223
"251",1,12900.00,0.03272,0.015421,0.012992,0.08241
"252",1,12901.00,0.03279,0.015455,0.013022,0.08259
"253",1,12903.00,0.03287,0.015489,0.013052,0.08278
"254",1,12915.00,0.03294,0.015522,0.013083,0.08296
"255",1,12918.00,0.03302,0.015556,0.013113,0.08314
"256",1,12927.00,0.03309,0.015589,0.013143,0.08331
"257",1,12928.00,0.03316,0.015623,0.013173,0.08349
"258",1,12932.00,0.03324,0.015656,0.013203,0.08367
"259",1,12946.00,0.03331,0.015690,0.013233,0.08385
"260",1,12947.00,0.03338,0.015723,0.013263,0.08403
"261",1,12950.00,0.03346,0.015757,0.013293,0.08421
"262",1,12951.00,0.03353,0.015791,0.013323,0.08439
"263",1,12953.00,0.03361,0.015824,0.013354,0.08457
"264",1,12958.00,0.03368,0.015857,0.013383,0.08475
"265",1,12963.00,0.03375,0.015890,0.013413,0.08493
"266",1,12973.00,0.03382,0.015923,0.013442,0.08510
"267",1,12976.00,0.03389,0.015956,0.013472,0.08528
"268",1,12978.00,0.03396,0.015987,0.013500,0.08544
"269",1,12982.00,0.03403,0.016018,0.013528,0.08561
"270",1,12985.00,0.03410,0.016049,0.013556,0.08578
"271",1,12987.00,0.03417,0.016080,0.013584,0.08594
"272",1,12988.00,0.03424,0.016110,0.013611,0.08611
"273",1,12993.00,0.03430,0.016141,0.013639,0.08627
"274",1,12997.00,0.03437,0.016172,0.013667,0.08643
"275",1,12998.00,0.03444,0.016202,0.013694,0.08660
"276",1,13003.00,0.03450,0.016232,0.013722,0.08676
"277",1,13003.00,0.03457,0.016263,0.013750,0.08692
"278",1,13006.00,0.03464,0.016294,0.013777,0.08709
"279",1,13010.00,0.03471,0.016324,0.013805,0.08725
"280",1,13012.00,0.03477,0.016355,0.013833,0.08742
"281",1,13017.00,0.03484,0.016385,0.013860,0.08758
"282",1,13022.00,0.03491,0.016416,0.013888,0.08775
"283",1,13030.00,0.03497,0.016446,0.013915,0.08790
"284",1,13031.00,0.03504,0.016476,0.013942,0.08806
"285",1,13038.00,0.03511,0.016505,0.013969,0.08822
"286",1,13038.00,0.03517,0.016535,0.013996,0.08838
"287",1,13038.00,0.03524,0.016565,0.014023,0.08854
"288",1,13040.00,0.03530,0.016594,0.014050,0.08870
"289",1,13042.00,0.03537,0.016624,0.014076,0.08886
"290",1,13045.00,0.03543,0.016653,0.014103,0.08901
"291",1,13046.00,0.03550,0.016682,0.014129,0.08917
"292",1,13047.00,0.03556,0.016711,0.014156,0.08933
"293",1,13050.00,0.03562,0.016741,0.014183,0.08949
"294",1,13050.00,0.03569,0.016770,0.014209,0.08964
"295",1,13055.00,0.03575,0.016799,0.014236,0.08980
"296",1,13055.00,0.03582,0.016829,0.014263,0.08996
"297",1,13061.00,0.03588,0.016858,0.014289,0.09011
"298",1,13063.00,0.03595,0.016887,0.014316,0.09027
"299",1,13064.00,0.03601,0.016917,0.014342,0.09043
"300",1,13065.00,0.03608,0.016946,0.014369,0.09059
"301",1,13068.00,0.03614,0.016975,0.014396,0.09074
"302",1,13069.00,0.03621,0.017005,0.014422,0.09090
"303",1,13070.00,0.03627,0.017034,0.014449,0.09106
"304",1,13072.00,0.03634,0.017063,0.014476,0.09122
"305",1,13075.00,0.03640,0.017092,0.014502,0.09137
"306",1,13076.00,0.03647,0.017122,0.014529,0.09153
"307",1,13079.00,0.03653,0.017151,0.014555,0.09169
"308",1,13081.00,0.03660,0.017180,0.014582,0.09184
"309",1,13082.00,0.03666,0.017210,0.014609,0.09200
"310",1,13082.00,0.03673,0.017239,0.014635,0.09216
"311",1,13083.00,0.03679,0.017269,0.014662,0.09232
"312",1,13083.00,0.03686,0.017298,0.014689,0.09247
"313",1,13087.00,0.03692,0.017327,0.014715,0.09263
"314",1,13088.00,0.03698,0.017357,0.014742,0.09279
"315",1,13091.00,0.03705,0.017386,0.014769,0.09295
"316",1,13095.00,0.03711,0.017415,0.014795,0.09310
"317",1,13097.00,0.03718,0.017444,0.014821,0.09326
"318",1,13098.00,0.03724,0.017472,0.014847,0.09341
